,winloss,championPlayed,kills,deaths,assists
1144,1,203,7,4,5
1145,0,40,2,7,7
1146,0,14,2,10,2
1147,0,142,3,7,4
1148,0,64,8,7,5
1149,0,145,1,4,6
1150,1,497,2,5,10
1151,1,86,2,6,4
1152,1,245,6,3,10
1153,1,777,7,8,5
1154,1,222,5,3,11
1155,0,523,2,3,10
1156,0,235,0,5,16
1157,0,13,12,5,2
1158,0,104,3,6,9
1159,0,79,8,3,7
1160,0,203,2,6,2
1161,0,126,4,6,4
1162,0,1,6,6,1
1163,0,235,0,5,3
1164,0,79,3,5,2
1165,1,122,7,1,3
1166,1,134,9,4,4
1167,1,16,3,5,16
1168,1,110,1,2,11
1169,1,876,7,3,6
1170,1,498,10,3,9
1171,1,150,4,9,11
1172,1,497,2,5,21
1173,1,104,6,4,9
1174,1,4,8,2,11
1175,0,80,5,8,11
1176,0,23,6,7,3
1177,0,142,0,5,1
1178,0,76,8,5,8
1179,0,21,4,5,10
1180,0,106,3,3,4
1181,0,72,3,6,6
1182,0,38,4,7,2
1183,0,43,1,6,6
1184,0,145,3,3,2
1185,1,875,1,3,13
1186,1,235,8,3,6
1187,1,60,5,4,4
1188,1,266,5,1,5
1189,1,142,6,3,8
1190,0,2,6,6,8
1191,0,81,1,6,10
1192,0,412,0,6,8
1193,0,142,8,7,4
1194,0,79,2,6,8
1195,1,98,3,3,14
1196,1,111,3,3,13
1197,1,18,5,3,9
1198,1,254,5,4,13
1199,1,7,15,4,7
1200,1,498,3,4,5
1201,1,2,7,3,8
1202,1,164,10,2,11
1203,1,3,4,1,22
1204,1,13,11,3,11
1205,0,777,0,7,3
1206,0,526,0,9,9
1207,0,360,4,8,5
1208,0,234,5,6,2
1209,0,84,4,5,3
1210,0,28,4,10,7
1211,0,777,0,13,1
1212,0,145,15,7,4
1213,0,54,1,7,3
1214,0,89,1,13,9
1215,1,105,10,5,9
1216,1,67,10,7,13
1217,1,432,7,4,25
1218,1,121,12,4,17
1219,1,31,11,2,11
1220,0,76,14,9,14
1221,0,157,9,9,9
1222,0,523,7,9,14
1223,0,875,8,10,10
1224,0,497,0,4,27
1225,1,145,13,6,13
1226,1,876,7,10,16
1227,1,517,12,7,15
1228,1,526,3,8,24
1229,1,150,6,7,15
1230,0,80,7,9,11
1231,0,61,3,5,10
1232,0,164,7,6,7
1233,0,163,6,5,7
1234,0,236,3,9,4
1235,1,875,3,6,8
1236,1,104,7,2,7
1237,1,145,13,5,7
1238,1,79,3,7,6
1239,1,112,8,6,7
1240,1,76,7,2,7
1241,1,18,7,5,4
1242,1,517,4,3,6
1243,1,145,7,4,3
1244,1,89,0,3,9
1245,0,498,4,4,4
1246,0,72,4,4,5
1247,0,412,2,6,7
1248,0,112,4,3,2
1249,0,79,3,8,3
1250,1,78,6,3,9
1251,1,157,8,3,6
1252,1,72,8,2,10
1253,1,134,14,2,16
1254,1,79,3,4,18
1255,0,120,2,7,4
1256,0,147,0,8,6
1257,0,92,5,9,2
1258,0,45,2,10,3
1259,0,81,5,5,3
1260,0,134,0,5,1
1261,0,106,1,6,3
1262,0,498,2,4,2
1263,0,121,7,4,1
1264,0,497,0,6,6
1265,1,145,3,2,6
1266,1,412,3,3,15
1267,1,58,7,3,6
1268,1,76,7,1,8
1269,1,3,5,1,11
1270,1,142,11,4,10
1271,1,58,5,7,6
1272,1,2,8,7,8
1273,1,21,3,3,10
1274,1,147,0,4,20
1275,0,69,10,8,4
1276,0,62,6,6,4
1277,0,234,7,5,5
1278,0,117,1,3,7
1279,0,523,1,5,2
1280,1,147,8,6,12
1281,1,876,8,7,12
1282,1,81,9,4,13
1283,1,150,5,8,11
1284,1,412,1,7,20
1285,0,79,3,1,17
1286,0,30,6,6,14
1287,0,12,1,10,16
1288,0,203,13,8,6
1289,0,517,9,6,11
1290,0,360,3,7,4
1291,0,154,1,5,14
1292,0,62,11,6,2
1293,0,39,5,9,2
1294,0,497,0,6,7
1295,1,82,11,3,8
1296,1,76,6,4,9
1297,1,81,5,5,11
1298,1,147,3,6,18
1299,1,777,8,2,9
1300,1,80,4,5,15
1301,1,245,13,3,10
1302,1,89,0,5,14
1303,1,58,2,5,10
1304,1,360,14,7,11
1305,0,526,0,7,18
1306,0,67,9,6,9
1307,0,76,6,5,12
1308,0,54,0,7,10
1309,0,39,10,8,4
1310,0,55,0,8,1
1311,0,526,1,10,2
1312,0,114,1,7,1
1313,0,29,3,5,2
1314,0,28,3,6,2
1315,1,104,16,0,4
1316,1,57,4,3,4
1317,1,875,2,0,12
1318,1,236,6,4,6
1319,1,517,8,1,9
1320,0,28,1,5,2
1321,0,81,2,4,3
1322,0,526,1,7,6
1323,0,55,2,6,1
1324,0,164,2,3,0
1325,1,517,11,2,7
1326,1,60,3,0,12
1327,1,62,4,2,4
1328,1,498,4,3,5
1329,1,432,3,1,14
1330,1,114,4,3,1
1331,1,142,6,2,8
1332,1,121,4,3,12
1333,1,432,6,2,20
1334,1,360,14,1,7
1335,0,777,0,6,5
1336,0,420,3,4,0
1337,0,350,0,9,5
1338,0,67,3,8,1
1339,0,28,4,7,2
1340,0,526,0,5,0
1341,0,62,0,1,0
1342,0,134,0,3,0
1343,0,76,0,3,0
1344,0,360,0,2,0
1345,1,876,6,0,3
1346,1,67,3,0,2
1347,1,78,1,0,6
1348,1,41,1,0,7
1349,1,117,3,0,2
1350,0,25,1,7,2
1351,0,498,0,5,3
1352,0,85,0,3,0
1353,0,61,4,1,0
1354,0,154,0,1,0
1355,1,39,3,1,3
1356,1,21,4,2,4
1357,1,497,1,1,4
1358,1,76,4,0,0
1359,1,236,4,1,0
1360,1,14,6,9,32
1361,1,145,7,11,17
1362,1,105,19,11,12
1363,1,58,16,11,7
1364,1,875,4,11,30
1365,0,498,10,10,21
1366,0,526,2,12,26
1367,0,120,17,9,18
1368,0,142,19,7,19
1369,0,39,5,14,11
1370,1,234,7,5,11
1371,1,41,3,8,4
1372,1,30,12,4,7
1373,1,81,7,4,8
1374,1,26,3,4,15
1375,0,876,11,7,5
1376,0,58,3,4,10
1377,0,147,1,7,12
1378,0,202,8,5,4
1379,0,236,2,9,5
1380,0,61,4,6,3
1381,0,64,6,7,5
1382,0,41,1,7,2
1383,0,235,1,6,6
1384,0,147,0,6,6
1385,1,122,10,1,2
1386,1,26,2,1,19
1387,1,22,6,2,5
1388,1,112,4,5,8
1389,1,107,10,3,8
1390,0,39,6,9,4
1391,0,29,9,8,6
1392,0,80,4,11,8
1393,0,104,3,7,9
1394,0,84,6,7,8
1395,1,3,2,7,21
1396,1,61,4,3,19
1397,1,164,15,4,11
1398,1,163,18,8,8
1399,1,21,3,6,12
1400,0,147,3,6,5
1401,0,67,6,8,1
1402,0,20,2,8,8
1403,0,40,1,4,9
1404,0,777,2,6,4
1405,1,112,4,3,12
1406,1,104,18,3,8
1407,1,12,2,3,15
1408,1,79,4,3,11
1409,1,222,4,2,9
1410,1,235,11,6,15
1411,1,234,16,3,8
1412,1,28,5,4,7
1413,1,51,6,4,12
1414,1,122,3,5,2
1415,0,126,2,6,5
1416,0,526,1,10,14
1417,0,1,2,7,9
1418,0,202,11,8,4
1419,0,104,6,10,4
1420,0,234,7,8,10
1421,0,360,1,10,6
1422,0,517,14,6,7
1423,0,526,0,7,8
1424,0,114,3,6,6
1425,1,12,4,3,24
1426,1,67,10,3,10
1427,1,4,8,6,18
1428,1,76,5,11,10
1429,1,164,10,2,11
1430,1,25,1,5,18
1431,1,120,3,5,10
1432,1,777,11,5,3
1433,1,523,9,5,6
1434,1,517,7,9,12
1435,0,79,7,5,9
1436,0,266,5,11,6
1437,0,497,2,5,18
1438,0,142,3,5,14
1439,0,235,11,5,7
1440,1,266,4,6,10
1441,1,163,16,5,11
1442,1,12,4,4,24
1443,1,777,16,3,9
1444,1,15,10,3,6
1445,0,30,9,8,6
1446,0,164,0,8,4
1447,0,81,4,11,5
1448,0,6,3,11,7
1449,0,29,5,12,8
1450,0,238,1,6,1
1451,0,79,2,4,1
1452,0,85,3,6,1
1453,0,360,1,2,0
1454,0,34,0,3,1
1455,1,58,5,0,10
1456,1,60,8,1,4
1457,1,555,6,3,3
1458,1,268,2,3,3
1459,1,81,0,0,8
1460,0,427,1,4,5
1461,0,777,7,9,1
1462,0,526,1,6,7
1463,0,498,2,7,9
1464,0,141,7,9,4
1465,1,4,6,5,16
1466,1,432,3,3,24
1467,1,21,9,6,12
1468,1,77,7,3,14
1469,1,150,10,1,10
1470,0,429,8,4,1
1471,0,526,1,8,7
1472,0,98,0,4,8
1473,0,234,4,10,6
1474,0,77,1,5,5
1475,1,55,8,4,13
1476,1,60,9,5,10
1477,1,235,7,2,19
1478,1,80,6,3,10
1479,1,497,1,1,24
1480,0,58,6,6,3
1481,0,60,9,6,3
1482,0,40,3,5,9
1483,0,234,3,10,6
1484,0,236,1,8,5
1485,1,133,5,7,10
1486,1,104,12,4,14
1487,1,526,4,2,11
1488,1,145,10,3,6
1489,1,34,4,6,6
1490,0,145,12,5,2
1491,0,268,3,5,4
1492,0,266,2,8,4
1493,0,497,1,4,14
1494,0,163,1,7,6
1495,1,61,5,2,10
1496,1,523,3,5,6
1497,1,234,6,4,5
1498,1,59,0,6,13
1499,1,120,15,2,4
1500,1,91,12,4,13
1501,1,875,5,2,23
1502,1,876,9,3,16
1503,1,40,3,4,24
1504,1,69,18,4,7
1505,0,145,4,10,5
1506,0,526,2,12,6
1507,0,34,2,6,6
1508,0,164,7,11,2
1509,0,56,2,8,8
1510,1,18,10,3,7
1511,1,50,5,1,3
1512,1,89,2,5,16
1513,1,77,4,3,13
1514,1,24,6,2,6
1515,0,39,3,6,0
1516,0,203,6,6,5
1517,0,43,0,6,11
1518,0,96,5,7,8
1519,0,117,0,2,7
1520,0,89,3,5,2
1521,0,6,0,4,1
1522,0,77,3,5,3
1523,0,67,5,6,4
1524,0,61,3,5,5
1525,1,35,12,1,7
1526,1,147,1,5,12
1527,1,81,1,4,12
1528,1,268,3,1,7
1529,1,126,8,3,4
1530,1,202,3,0,9
1531,1,89,3,2,11
1532,1,112,6,3,9
1533,1,41,8,2,11
1534,1,77,10,2,10
1535,0,432,0,4,5
1536,0,39,6,8,1
1537,0,51,2,4,1
1538,0,236,1,9,2
1539,0,79,0,5,6
1540,1,202,13,1,12
1541,1,35,10,5,14
1542,1,161,3,5,15
1543,1,55,9,5,9
1544,1,516,1,2,12
1545,0,92,5,9,5
1546,0,85,1,5,4
1547,0,64,4,7,1
1548,0,29,5,9,5
1549,0,37,3,6,10
1550,1,61,6,6,9
1551,1,120,8,2,7
1552,1,67,6,7,7
1553,1,58,0,5,8
1554,1,43,2,5,13
1555,0,8,2,4,6
1556,0,112,3,7,7
1557,0,145,4,3,9
1558,0,2,5,4,9
1559,0,555,11,4,3
1560,1,421,10,5,9
1561,1,15,9,2,9
1562,1,432,2,3,19
1563,1,3,1,2,18
1564,1,240,7,2,6
1565,0,64,5,7,6
1566,0,13,2,7,3
1567,0,53,4,5,4
1568,0,81,1,6,5
1569,0,114,2,4,3
1570,1,1,6,4,13
1571,1,12,2,5,21
1572,1,64,10,4,14
1573,1,18,12,5,12
1574,1,150,9,5,6
1575,0,432,3,7,12
1576,0,69,10,8,4
1577,0,421,4,8,7
1578,0,142,2,7,9
1579,0,81,4,9,5
1580,1,25,2,6,7
1581,1,12,2,4,16
1582,1,131,6,0,7
1583,1,15,11,1,8
1584,1,24,8,6,7
1585,0,517,2,5,4
1586,0,43,2,7,7
1587,0,81,2,6,7
1588,0,164,6,7,4
1589,0,2,5,4,4
1590,1,67,8,2,5
1591,1,89,3,4,8
1592,1,39,10,5,5
1593,1,30,3,4,13
1594,1,236,5,1,5
1595,0,12,0,5,8
1596,0,61,6,1,3
1597,0,150,2,6,7
1598,0,145,6,5,5
1599,0,36,2,12,7
1600,1,142,5,0,13
1601,1,120,6,2,10
1602,1,14,1,2,8
1603,1,89,3,4,10
1604,1,202,13,4,10
1605,0,15,2,4,6
1606,0,203,4,5,4
1607,0,98,3,3,3
1608,0,412,3,9,5
1609,0,61,0,7,4
1610,0,22,6,7,17
1611,0,876,8,10,9
1612,0,236,12,6,8
1613,0,235,4,10,22
1614,0,39,3,10,9
1615,1,61,2,7,17
1616,1,14,6,6,24
1617,1,121,12,7,8
1618,1,412,3,8,24
1619,1,222,20,5,14
1620,1,154,3,5,20
1621,1,145,12,4,11
1622,1,497,2,3,22
1623,1,58,3,5,6
1624,1,157,10,5,7
1625,0,18,5,5,9
1626,0,28,5,6,9
1627,0,360,8,5,5
1628,0,133,2,5,4
1629,0,89,2,9,12
1630,1,54,3,2,11
1631,1,157,5,3,1
1632,1,412,2,4,8
1633,1,876,3,5,10
1634,1,61,5,1,9
1635,0,24,4,6,0
1636,0,497,1,2,11
1637,0,202,5,4,4
1638,0,236,1,4,3
1639,0,245,4,2,8
1640,1,266,4,4,12
1641,1,18,12,3,5
1642,1,12,1,2,10
1643,1,76,8,6,3
1644,1,112,0,3,11
1645,0,79,0,5,10
1646,0,150,5,6,2
1647,0,145,4,5,3
1648,0,876,8,4,6
1649,0,43,1,5,8
1650,0,497,3,5,17
1651,0,875,2,8,1
1652,0,81,7,5,8
1653,0,240,8,5,5
1654,0,876,6,5,8
1655,1,526,1,8,13
1656,1,9,3,5,8
1657,1,145,2,7,6
1658,1,112,3,4,10
1659,1,39,18,2,3
1660,0,58,8,9,6
1661,0,54,5,5,2
1662,0,154,4,4,10
1663,0,18,2,6,6
1664,0,48,0,6,9
1665,1,39,4,6,14
1666,1,526,1,3,21
1667,1,360,8,4,9
1668,1,9,10,4,5
1669,1,150,7,2,13
1670,0,150,1,8,7
1671,0,523,6,5,6
1672,0,80,6,7,11
1673,0,76,10,6,4
1674,0,25,2,3,18
1675,1,777,0,6,8
1676,1,222,8,6,7
1677,1,28,10,5,9
1678,1,497,2,5,15
1679,1,126,9,3,14
1680,1,126,2,1,4
1681,1,64,7,2,4
1682,1,18,2,0,3
1683,1,131,3,0,5
1684,1,412,0,1,7
1685,0,121,1,5,1
1686,0,39,2,4,0
1687,0,150,1,2,0
1688,0,145,0,1,0
1689,0,117,0,2,0
1690,0,126,6,6,5
1691,0,412,1,7,9
1692,0,141,7,7,3
1693,0,20,3,10,11
1694,0,51,3,8,6
1695,1,235,4,1,23
1696,1,58,14,4,3
1697,1,55,11,7,6
1698,1,875,5,4,12
1699,1,234,4,4,12
1700,1,3,0,3,15
1701,1,145,8,4,4
1702,1,268,4,2,9
1703,1,36,6,0,12
1704,1,41,6,8,4
1705,0,79,3,3,3
1706,0,104,6,6,3
1707,0,157,3,4,3
1708,0,131,2,6,4
1709,0,412,3,5,7
1710,1,112,8,4,11
1711,1,21,5,6,10
1712,1,114,12,7,9
1713,1,111,4,6,14
1714,1,113,6,5,12
1715,0,518,6,7,12
1716,0,13,3,6,11
1717,0,58,7,10,9
1718,0,26,3,6,17
1719,0,81,9,7,3
1720,1,58,9,2,9
1721,1,876,7,2,15
1722,1,236,5,6,8
1723,1,497,2,4,15
1724,1,81,4,10,6
1725,0,875,8,7,4
1726,0,117,1,4,14
1727,0,79,1,5,15
1728,0,76,6,8,8
1729,0,222,8,3,7
1730,1,266,9,5,2
1731,1,13,4,6,8
1732,1,429,13,4,10
1733,1,141,11,4,8
1734,1,412,1,3,22
1735,0,104,7,7,7
1736,0,26,4,10,10
1737,0,126,4,7,5
1738,0,131,2,6,3
1739,0,81,5,9,9
1740,1,142,6,4,3
1741,1,50,3,3,8
1742,1,126,7,2,7
1743,1,60,5,1,8
1744,1,67,3,3,8
1745,0,203,4,3,3
1746,0,111,1,9,6
1747,0,31,0,5,1
1748,0,157,1,3,2
1749,0,29,7,4,3
1750,0,64,1,6,2
1751,0,201,1,6,2
1752,0,150,3,3,1
1753,0,202,1,4,1
1754,0,268,1,4,0
1755,1,516,1,4,3
1756,1,28,12,0,2
1757,1,30,5,1,7
1758,1,111,1,2,10
1759,1,234,4,0,4
1760,1,523,4,5,15
1761,1,427,9,3,19
1762,1,126,7,5,15
1763,1,35,7,11,14
1764,1,147,10,5,14
1765,0,145,15,7,2
1766,0,245,1,7,6
1767,0,412,2,6,20
1768,0,30,5,9,5
1769,0,18,6,8,6
1770,0,85,1,6,2
1771,0,81,0,5,3
1772,0,43,1,6,5
1773,0,61,1,3,4
1774,0,104,7,3,3
1775,1,117,0,3,12
1776,1,236,3,2,4
1777,1,876,5,2,4
1778,1,235,1,1,13
1779,1,222,14,2,2
1780,0,79,3,3,5
1781,0,145,2,6,3
1782,0,134,3,5,3
1783,0,421,2,9,4
1784,0,236,3,4,2
1785,1,61,9,3,9
1786,1,41,4,4,6
1787,1,76,6,2,6
1788,1,235,6,2,13
1789,1,223,2,2,12
1790,0,432,0,3,4
1791,0,112,1,3,0
1792,0,41,1,3,1
1793,0,76,1,3,2
1794,0,81,2,6,1
1795,1,145,10,0,0
1796,1,526,0,1,9
1797,1,876,3,2,4
1798,1,266,3,1,5
1799,1,236,2,2,4
1800,1,2,0,0,0
1801,1,67,1,0,0
1802,1,61,0,0,0
1803,1,235,0,0,0
1804,1,526,0,0,0
1805,0,39,0,1,0
1806,0,412,0,0,0
1807,0,429,0,0,0
1808,0,254,0,0,0
1809,0,115,0,0,0
1810,0,79,0,0,0
1811,0,64,0,0,0
1812,0,40,0,1,0
1813,0,245,0,0,0
1814,0,145,0,2,0
1815,1,111,2,0,1
1816,1,60,0,0,2
1817,1,85,0,0,0
1818,1,266,0,0,0
1819,1,222,1,0,1
1820,1,31,2,2,3
1821,1,222,5,2,7
1822,1,4,3,6,10
1823,1,111,3,2,13
1824,1,234,10,1,3
1825,0,350,0,4,4
1826,0,145,1,5,2
1827,0,114,4,3,1
1828,0,13,4,4,2
1829,0,107,4,7,2
1830,1,235,9,6,10
1831,1,876,10,2,13
1832,1,18,14,1,10
1833,1,68,6,3,17
1834,1,22,3,7,17
1835,0,28,8,6,5
1836,0,81,3,7,6
1837,0,39,2,11,3
1838,0,147,2,8,7
1839,0,875,4,10,4
1840,1,429,6,3,5
1841,1,126,4,4,2
1842,1,43,1,2,4
1843,1,104,7,0,6
1844,1,432,4,0,13
1845,0,39,3,4,2
1846,0,48,1,3,3
1847,0,223,1,6,2
1848,0,235,2,6,0
1849,0,1,2,3,0
1850,1,120,8,4,9
1851,1,43,0,3,11
1852,1,31,3,3,11
1853,1,61,1,4,14
1854,1,222,8,1,7
1855,0,412,0,6,12
1856,0,523,7,4,5
1857,0,147,1,2,8
1858,0,117,1,4,7
1859,0,104,6,4,5
1860,1,61,2,7,9
1861,1,526,2,7,11
1862,1,107,10,5,5
1863,1,117,2,4,16
1864,1,15,9,2,10
1865,0,58,7,7,3
1866,0,412,1,6,8
1867,0,876,6,4,8
1868,0,222,6,4,6
1869,0,112,3,4,7
1870,1,80,2,4,10
1871,1,76,7,1,5
1872,1,41,0,8,11
1873,1,145,4,2,11
1874,1,39,8,1,6
1875,0,222,0,3,4
1876,0,147,0,5,4
1877,0,54,9,4,3
1878,0,120,5,6,5
1879,0,43,2,3,8
1880,1,145,6,0,2
1881,1,111,1,2,6
1882,1,39,4,2,2
1883,1,79,1,1,3
1884,1,245,2,2,4
1885,0,412,0,3,3
1886,0,523,1,2,0
1887,0,31,0,1,2
1888,0,421,3,5,3
1889,0,62,3,3,0
1890,0,15,1,3,1
1891,0,77,1,3,2
1892,0,350,2,0,1
1893,0,61,1,6,0
1894,0,875,0,4,0
1895,1,34,5,0,4
1896,1,117,3,0,7
1897,1,432,1,1,11
1898,1,81,2,2,2
1899,1,203,5,2,5
1900,1,117,1,2,19
1901,1,238,4,3,11
1902,1,222,15,3,11
1903,1,234,10,3,8
1904,1,223,1,5,19
1905,0,39,4,6,7
1906,0,412,1,5,12
1907,0,202,3,9,6
1908,0,134,5,4,3
1909,0,876,3,7,7
1910,1,412,0,1,20
1911,1,875,8,5,14
1912,1,876,6,5,10
1913,1,112,3,5,16
1914,1,429,12,2,3
1915,0,12,2,6,11
1916,0,72,4,4,9
1917,0,61,2,9,6
1918,0,41,2,5,9
1919,0,21,8,5,2
1920,1,43,2,2,14
1921,1,18,2,4,8
1922,1,126,5,6,3
1923,1,76,7,3,10
1924,1,81,9,4,3
1925,0,39,6,5,5
1926,0,235,5,1,2
1927,0,134,2,8,4
1928,0,876,5,7,7
1929,0,412,1,4,6
1930,1,67,7,4,10
1931,1,497,0,5,8
1932,1,41,8,2,9
1933,1,77,5,1,10
1934,1,777,2,5,9
1935,0,39,3,4,5
1936,0,104,1,2,4
1937,0,516,1,7,4
1938,0,526,5,5,6
1939,0,18,7,4,1
1940,0,62,2,3,2
1941,0,222,1,7,4
1942,0,154,3,6,3
1943,0,134,3,6,1
1944,0,12,1,5,5
1945,1,67,12,2,4
1946,1,41,4,4,4
1947,1,61,4,1,6
1948,1,876,7,0,9
1949,1,57,0,3,14
1950,0,6,0,5,3
1951,0,145,0,5,1
1952,0,61,3,1,1
1953,0,111,0,8,2
1954,0,876,2,7,1
1955,1,141,10,1,12
1956,1,92,5,1,4
1957,1,79,1,3,6
1958,1,526,0,0,17
1959,1,222,10,0,12
1960,1,104,12,3,7
1961,1,526,1,2,10
1962,1,18,8,3,6
1963,1,45,3,5,7
1964,1,150,3,2,9
1965,0,41,2,8,3
1966,0,84,5,7,5
1967,0,876,3,2,6
1968,0,21,3,5,3
1969,0,89,2,5,6
1970,0,79,1,5,12
1971,0,12,1,7,13
1972,0,39,11,6,7
1973,0,876,6,6,12
1974,0,523,7,7,5
1975,1,266,3,8,17
1976,1,25,0,5,26
1977,1,51,17,5,7
1978,1,1,4,5,10
1979,1,120,7,3,16
1980,0,235,0,4,1
1981,0,39,4,5,2
1982,0,223,1,5,0
1983,0,59,2,5,1
1984,0,112,1,2,1
1985,1,412,0,2,16
1986,1,8,1,2,4
1987,1,77,3,0,6
1988,1,429,13,0,2
1989,1,236,4,4,3
1990,1,266,2,1,6
1991,1,28,4,0,4
1992,1,268,5,2,1
1993,1,222,5,1,3
1994,1,12,0,2,8
1995,0,79,0,3,1
1996,0,145,1,5,1
1997,0,421,3,3,1
1998,0,517,1,2,2
1999,0,526,1,3,2
2000,1,25,5,6,26
2001,1,3,5,4,14
2002,1,164,9,11,8
2003,1,222,8,5,23
2004,1,104,16,8,6
2005,0,555,10,8,6
2006,0,412,2,10,17
2007,0,54,7,6,13
2008,0,68,3,9,11
2009,0,141,12,10,13
2010,1,120,6,7,7
2011,1,117,0,2,15
2012,1,131,3,4,9
2013,1,96,6,3,4
2014,1,517,7,5,4
2015,0,235,2,4,11
2016,0,43,4,5,10
2017,0,110,8,6,6
2018,0,876,6,3,13
2019,0,875,1,4,7
2020,1,104,6,5,8
2021,1,51,14,2,8
2022,1,101,6,4,10
2023,1,99,7,6,11
2024,1,79,5,4,6
2025,0,876,3,6,7
2026,0,134,5,6,3
2027,0,235,1,12,12
2028,0,150,7,5,5
2029,0,236,5,9,6
2030,0,267,0,2,5
2031,0,76,6,4,0
2032,0,68,0,4,2
2033,0,164,1,5,4
2034,0,18,3,5,0
2035,1,111,0,2,11
2036,1,27,1,2,5
2037,1,14,2,4,3
2038,1,96,9,2,1
2039,1,203,8,0,6
2040,1,121,7,2,14
2041,1,53,2,7,13
2042,1,266,4,6,10
2043,1,18,11,6,8
2044,1,4,5,4,14
2045,0,112,2,9,5
2046,0,89,4,5,13
2047,0,120,3,4,14
2048,0,150,9,5,4
2049,0,222,7,6,8
2050,1,79,6,3,9
2051,1,81,4,3,7
2052,1,40,3,6,19
2053,1,60,8,5,12
2054,1,62,16,2,4
2055,0,85,0,9,5
2056,0,141,5,11,6
2057,0,3,3,5,4
2058,0,147,2,6,12
2059,0,21,9,6,6
2060,0,43,1,7,15
2061,0,421,7,8,7
2062,0,777,9,5,3
2063,0,517,5,7,6
2064,0,21,2,6,8
2065,1,161,4,4,6
2066,1,141,12,7,9
2067,1,14,9,5,10
2068,1,12,2,2,19
2069,1,18,6,6,7
2070,0,120,5,12,11
2071,0,89,0,10,13
2072,0,31,4,9,4
2073,0,145,7,7,10
2074,0,61,8,9,8
2075,1,112,11,8,14
2076,1,58,4,3,17
2077,1,3,3,5,31
2078,1,104,20,2,12
2079,1,498,9,6,19
2080,0,51,8,5,2
2081,0,876,3,6,5
2082,0,68,1,4,3
2083,0,412,2,3,10
2084,0,246,5,8,7
2085,1,150,4,3,3
2086,1,236,7,5,7
2087,1,245,6,3,11
2088,1,111,0,3,10
2089,1,202,9,5,6
2090,0,15,11,11,14
2091,0,59,9,11,18
2092,0,147,1,12,14
2093,0,39,11,7,12
2094,0,24,10,8,9
2095,1,412,4,7,30
2096,1,246,5,12,13
2097,1,245,19,8,14
2098,1,222,15,7,19
2099,1,164,6,8,8
2100,0,91,11,11,3
2101,0,85,6,10,5
2102,0,2,11,11,8
2103,0,21,6,6,11
2104,0,117,2,10,19
2105,1,120,16,5,14
2106,1,235,10,9,22
2107,1,61,9,6,19
2108,1,222,2,11,22
2109,1,68,10,5,16
2110,0,141,3,5,6
2111,0,81,4,7,4
2112,0,126,2,10,2
2113,0,43,0,5,12
2114,0,68,8,3,3
2115,1,20,2,4,8
2116,1,37,2,4,15
2117,1,222,12,0,4
2118,1,517,7,6,4
2119,1,114,7,3,1
2120,1,517,4,1,12
2121,1,234,4,5,5
2122,1,18,11,3,7
2123,1,9,6,4,11
2124,1,555,3,9,7
2125,0,104,8,5,9
2126,0,21,3,4,8
2127,0,67,4,5,3
2128,0,20,5,9,8
2129,0,497,2,5,12
2130,1,150,2,2,6
2131,1,51,6,1,10
2132,1,79,5,2,8
2133,1,39,7,6,4
2134,1,9,4,2,8
2135,0,222,1,6,1
2136,0,25,0,5,5
2137,0,141,7,7,1
2138,0,517,2,5,3
2139,0,7,3,1,3
2140,0,74,1,5,0
2141,0,120,7,7,9
2142,0,79,5,5,2
2143,0,497,0,4,10
2144,0,18,4,6,5
2145,1,81,7,0,9
2146,1,876,2,5,14
2147,1,68,6,5,9
2148,1,12,3,4,16
2149,1,236,8,3,4
2150,1,497,0,4,12
2151,1,131,7,2,2
2152,1,81,0,5,5
2153,1,234,7,5,8
2154,1,48,3,4,4
2155,0,14,2,4,6
2156,0,235,4,3,5
2157,0,59,7,2,6
2158,0,69,5,6,3
2159,0,89,2,2,10
2160,0,150,5,6,12
2161,0,56,7,9,10
2162,0,76,9,10,7
2163,0,432,1,7,15
2164,0,202,6,10,8
2165,1,14,7,7,14
2166,1,523,10,7,13
2167,1,240,11,5,11
2168,1,412,4,2,26
2169,1,30,9,7,12
2170,1,3,1,5,25
2171,1,122,12,5,9
2172,1,432,5,4,26
2173,1,64,17,4,12
2174,1,81,8,5,8
2175,0,163,8,10,10
2176,0,222,5,8,5
2177,0,114,3,9,3
2178,0,246,6,7,6
2179,0,526,1,9,11
2180,1,38,4,2,11
2181,1,29,14,3,4
2182,1,412,5,1,17
2183,1,92,8,1,4
2184,1,104,6,1,12
2185,0,37,3,9,4
2186,0,203,2,7,0
2187,0,62,0,5,0
2188,0,15,2,9,4
2189,0,131,1,7,2
2190,0,36,0,3,1
2191,0,14,0,0,0
2192,0,29,1,3,1
2193,0,4,0,0,0
2194,0,53,1,2,0
2195,1,89,2,1,4
2196,1,203,3,0,2
2197,1,56,1,0,2
2198,1,145,2,1,3
2199,1,103,0,0,0
2200,1,523,5,5,10
2201,1,526,4,3,14
2202,1,76,13,1,9
2203,1,39,4,4,7
2204,1,14,1,4,0
2205,0,120,4,6,5
2206,0,4,5,6,4
2207,0,81,1,7,6
2208,0,412,2,6,6
2209,0,234,4,2,5
2210,0,157,7,7,5
2211,0,497,2,6,12
2212,0,68,2,2,5
2213,0,427,4,4,10
2214,0,235,2,8,7
2215,1,238,10,3,11
2216,1,526,0,5,14
2217,1,145,17,2,6
2218,1,4,0,4,10
