,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5862,0,142,3,8,6,10684,0,0,26,"{'10-20': -0.40000000000000036, '0-10': 0.5, '20-30': -0.8999999999999997}","{'10-20': -189.20000000000002, '0-10': 66.00000000000003, '20-30': -60.39999999999995}",1934
5863,0,72,1,7,12,9258,0,0,19,"{'10-20': -0.30000000000000004, '0-10': -0.1, '20-30': 1.2999999999999998}","{'10-20': -251.6, '0-10': -110.60000000000002, '20-30': 244.50000000000006}",1934
5864,0,147,2,6,7,8870,0,0,52,"{'10-20': -0.7000000000000006, '0-10': 0.8, '20-30': 2.95}","{'10-20': -94.14999999999998, '0-10': 66.85000000000002, '20-30': 152.70000000000005}",1934
5865,1,517,10,5,14,14227,0,1,19,"{'10-20': 1.2000000000000002, '0-10': 0.5999999999999996, '20-30': -4.5}","{'10-20': -76.09999999999994, '0-10': 63.20000000000002, '20-30': -83.09999999999997}",1934
5866,1,79,3,4,14,8674,1,0,72,"{'10-20': 0.7000000000000006, '0-10': -0.8, '20-30': -2.95}","{'10-20': 94.14999999999998, '0-10': -66.85000000000002, '20-30': -152.70000000000005}",1934
5867,1,36,6,5,13,13216,0,2,20,"{'10-20': 0.30000000000000004, '0-10': 0.1, '20-30': -1.2999999999999998}","{'10-20': 251.6, '0-10': 110.60000000000002, '20-30': -244.50000000000006}",1934
5868,1,145,6,5,12,12099,1,2,17,"{'10-20': 0.7000000000000006, '0-10': -0.8, '20-30': -2.95}","{'10-20': 94.14999999999998, '0-10': -66.85000000000002, '20-30': -152.70000000000005}",1934
5869,1,236,8,3,15,15398,2,5,47,"{'10-20': 0.40000000000000036, '0-10': -0.5, '20-30': 0.8999999999999997}","{'10-20': 189.20000000000002, '0-10': -66.00000000000003, '20-30': 60.39999999999995}",1934
5870,1,62,12,3,8,12865,0,2,9,"{'10-20': 0.40000000000000036, '0-10': -1.0999999999999996}","{'10-20': 96, '0-10': -36.00000000000003}",1580
5871,1,145,5,2,8,11040,0,1,30,{'0-10': 0},{'0-10': 0},1580
5872,1,154,2,1,14,9053,0,3,32,"{'10-20': 0.7999999999999999, '0-10': 0.7000000000000001}","{'10-20': 75.7, '0-10': -6.400000000000034}",1580
5873,1,68,10,5,12,11089,0,0,14,{'0-10': 0},{'0-10': 0},1580
5874,1,497,2,3,18,7334,1,1,50,{'0-10': 0},{'0-10': 0},1580
5875,0,107,5,7,2,11103,0,1,24,"{'10-20': -0.40000000000000036, '0-10': 1.0999999999999996}","{'10-20': -96, '0-10': 36.00000000000003}",1580
5876,0,4,4,5,2,10865,0,1,13,{'0-10': 0},{'0-10': 0},1580
5877,0,64,1,7,3,7873,0,1,17,"{'10-20': -0.7999999999999999, '0-10': -0.7000000000000001}","{'10-20': -75.7, '0-10': 6.400000000000034}",1580
5878,0,555,3,7,3,8734,0,0,59,{'0-10': 0},{'0-10': 0},1580
5879,0,15,1,6,2,9063,0,1,11,{'0-10': 0},{'0-10': 0},1580
5880,0,154,5,3,6,8666,0,0,18,"{'10-20': -1.7999999999999998, '0-10': 0.19999999999999996}","{'10-20': -13.69999999999996, '0-10': -19.599999999999966}",1474
5881,0,18,3,4,2,7755,0,1,31,"{'10-20': -0.6000000000000001, '0-10': -1.6}","{'10-20': 44.5, '0-10': 67.30000000000001}",1474
5882,0,114,2,5,4,7104,0,0,15,"{'10-20': -1.6000000000000008, '0-10': 0.8000000000000003}","{'10-20': -42.099999999999994, '0-10': 8.400000000000006}",1474
5883,0,145,5,4,2,9480,0,0,26,"{'10-20': -0.19999999999999973, '0-10': -0.9500000000000002}","{'10-20': 31.099999999999994, '0-10': -60.3}",1474
5884,0,147,2,8,6,6597,0,0,41,"{'10-20': -0.19999999999999973, '0-10': -0.9500000000000002}","{'10-20': 31.099999999999994, '0-10': -60.3}",1474
5885,1,360,15,2,2,15409,0,6,18,"{'10-20': 0.19999999999999973, '0-10': 0.9500000000000002}","{'10-20': -31.099999999999994, '0-10': 60.3}",1474
5886,1,164,3,6,1,8440,0,0,27,"{'10-20': 1.6000000000000008, '0-10': -0.8000000000000003}","{'10-20': 42.099999999999994, '0-10': -8.400000000000006}",1474
5887,1,876,3,3,5,9755,0,0,18,"{'10-20': 1.7999999999999998, '0-10': -0.19999999999999996}","{'10-20': 13.69999999999996, '0-10': 19.599999999999966}",1474
