,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
0,1,235,5,4,20,10538,0,0,79,"{'10-20': 0.8000000000000003, '0-10': 0.75}","{'10-20': 123.85000000000005, '0-10': 47.64999999999998}",1651
1,1,777,7,1,13,13674,0,1,21,"{'10-20': 0.10000000000000009, '0-10': 1.5}","{'10-20': 187.89999999999998, '0-10': 85.30000000000001}",1651
2,1,131,11,4,6,13810,2,2,32,"{'10-20': -0.49999999999999994, '0-10': -0.7}","{'10-20': 103.69999999999999, '0-10': -57.29999999999998}",1651
3,1,68,7,9,4,9904,0,0,19,"{'10-20': -2.9, '0-10': -1.3000000000000003}","{'10-20': -112.1, '0-10': 26.00000000000003}",1651
4,1,51,6,1,10,12643,0,6,23,"{'10-20': 0.8000000000000003, '0-10': 0.75}","{'10-20': 123.85000000000005, '0-10': 47.64999999999998}",1651
5,0,126,10,10,2,13384,0,2,21,"{'10-20': 2.9, '0-10': 1.3000000000000003}","{'10-20': 112.1, '0-10': -26.00000000000003}",1651
6,0,91,3,6,4,10268,0,1,19,"{'10-20': -0.10000000000000009, '0-10': -1.5}","{'10-20': -187.89999999999998, '0-10': -85.30000000000001}",1651
7,0,43,0,7,7,6144,0,0,63,"{'10-20': -0.8000000000000003, '0-10': -0.75}","{'10-20': -123.85000000000005, '0-10': -47.64999999999998}",1651
8,0,30,1,8,9,9192,0,0,26,"{'10-20': 0.49999999999999994, '0-10': 0.7}","{'10-20': -103.69999999999999, '0-10': 57.29999999999998}",1651
9,0,81,5,5,5,9725,0,0,21,"{'10-20': -0.8000000000000003, '0-10': -0.75}","{'10-20': -123.85000000000005, '0-10': -47.64999999999998}",1651
10,1,35,10,1,11,10589,0,1,21,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
11,1,236,6,3,2,7979,0,0,22,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
12,1,89,6,3,13,6831,0,0,36,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
13,1,222,5,3,6,8613,0,2,21,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
14,1,518,5,2,6,8794,0,2,8,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
15,0,81,6,4,0,8774,0,0,15,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
16,0,350,0,2,4,4641,0,0,22,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
17,0,126,0,10,4,6172,0,0,14,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
18,0,134,1,6,0,6125,0,0,11,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
19,0,141,4,10,1,6969,0,0,9,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
20,1,81,7,3,14,12967,1,4,12,"{'10-20': 0.09999999999999964, '0-10': -1.8}","{'10-20': 18.599999999999966, '0-10': -1.1499999999999915}",1634
21,1,84,6,7,9,11231,0,0,18,"{'10-20': 0.20000000000000018, '0-10': -0.7999999999999994}","{'10-20': -22.200000000000017, '0-10': -39.89999999999995}",1634
22,1,104,13,3,5,14653,0,2,27,"{'10-20': 0.1, '0-10': 1.8}","{'10-20': 84.79999999999995, '0-10': -4.5}",1634
23,1,432,3,5,17,8218,0,0,82,"{'10-20': 0.09999999999999964, '0-10': -1.8}","{'10-20': 18.599999999999966, '0-10': -1.1499999999999915}",1634
24,1,58,2,6,9,10548,0,1,17,"{'10-20': -1.9000000000000004, '0-10': 0.8999999999999999}","{'10-20': -96.40000000000003, '0-10': -38.599999999999994}",1634
25,0,126,10,7,6,13271,0,1,21,"{'10-20': 1.9000000000000004, '0-10': -0.8999999999999999}","{'10-20': 96.40000000000003, '0-10': 38.599999999999994}",1634
26,0,145,7,6,6,12054,0,1,28,"{'10-20': -0.09999999999999964, '0-10': 1.8}","{'10-20': -18.599999999999966, '0-10': 1.1499999999999915}",1634
27,0,53,1,7,10,6257,0,0,60,"{'10-20': -0.09999999999999964, '0-10': 1.8}","{'10-20': -18.599999999999966, '0-10': 1.1499999999999915}",1634
28,0,77,3,6,10,9211,0,0,30,"{'10-20': -0.1, '0-10': -1.8}","{'10-20': -84.79999999999995, '0-10': 4.5}",1634
29,0,4,2,5,9,9353,0,1,18,"{'10-20': -0.20000000000000018, '0-10': 0.7999999999999994}","{'10-20': 22.200000000000017, '0-10': 39.89999999999995}",1634
30,1,7,1,0,4,8415,0,1,18,"{'10-20': 0.6000000000000005, '0-10': 1.2999999999999998}","{'10-20': 11.399999999999977, '0-10': 72.1}",1314
31,1,64,3,0,7,8606,0,0,26,{'0-10': 0},{'0-10': 0},1314
32,1,145,6,4,9,10092,0,1,16,"{'10-20': 0.8000000000000005, '0-10': -0.24999999999999978}","{'10-20': 168.8, '0-10': -64.54999999999998}",1314
33,1,25,1,2,7,6054,0,1,49,"{'10-20': 0.8000000000000005, '0-10': -0.24999999999999978}","{'10-20': 168.8, '0-10': -64.54999999999998}",1314
34,1,126,10,2,4,12367,0,3,25,{'0-10': 0},{'0-10': 0},1314
35,0,429,1,5,2,7582,0,1,15,"{'10-20': -0.8000000000000005, '0-10': 0.24999999999999978}","{'10-20': -168.8, '0-10': 64.54999999999998}",1314
36,0,131,1,4,1,7249,0,0,12,"{'10-20': -0.6000000000000005, '0-10': -1.2999999999999998}","{'10-20': -11.399999999999977, '0-10': -72.1}",1314
37,0,234,3,4,0,7487,0,0,24,{'0-10': 0},{'0-10': 0},1314
38,0,23,1,3,1,8039,0,2,14,{'0-10': 0},{'0-10': 0},1314
39,0,497,2,5,2,5854,0,0,41,"{'10-20': -0.8000000000000005, '0-10': 0.24999999999999978}","{'10-20': -168.8, '0-10': 64.54999999999998}",1314
40,0,412,1,7,8,7245,0,0,77,{'0-10': 0},{'0-10': 0},1873
41,0,126,7,5,8,15843,1,5,18,{'0-10': 0},{'0-10': 0},1873
42,0,517,5,10,5,10283,0,0,24,{'0-10': 0},{'0-10': 0},1873
43,0,18,3,7,2,11232,0,1,30,{'0-10': 0},{'0-10': 0},1873
44,0,56,7,6,6,11964,0,0,29,"{'10-20': -0.5, '0-10': 0.4, '20-30': -1.1}","{'10-20': 81.4, '0-10': -27.099999999999994, '20-30': -306.6}",1873
45,1,234,5,4,8,13279,0,1,34,"{'10-20': 0.5, '0-10': -0.4, '20-30': 1.1}","{'10-20': -81.4, '0-10': 27.099999999999994, '20-30': 306.6}",1873
46,1,145,10,5,9,14366,0,1,31,{'0-10': 0},{'0-10': 0},1873
47,1,84,13,4,6,15345,0,2,20,{'0-10': 0},{'0-10': 0},1873
48,1,86,5,7,9,13476,1,2,24,{'0-10': 0},{'0-10': 0},1873
49,1,432,1,3,19,9270,0,2,62,{'0-10': 0},{'0-10': 0},1873
50,0,412,1,7,5,7269,0,1,77,"{'10-20': 0.6999999999999997, '0-10': 1.0999999999999999, '20-30': 0.2500000000000002}","{'10-20': -29.05000000000001, '0-10': 47.35000000000001, '20-30': 58.75}",1856
51,0,9,5,4,8,12121,0,0,70,"{'10-20': -0.10000000000000003, '0-10': -0.4, '20-30': 1.4000000000000004}","{'10-20': 7.000000000000028, '0-10': -36.80000000000001, '20-30': 33.200000000000045}",1856
52,0,8,5,6,2,11710,0,1,19,"{'10-20': 2.5999999999999996, '0-10': 0.09999999999999964, '20-30': -2.1999999999999993}","{'10-20': 62.599999999999994, '0-10': -42.70000000000002, '20-30': -226.5}",1856
53,0,110,1,5,4,10433,0,0,25,"{'10-20': 0.6999999999999997, '0-10': 1.0999999999999999, '20-30': 0.2500000000000002}","{'10-20': -29.05000000000001, '0-10': 47.35000000000001, '20-30': 58.75}",1856
54,0,246,7,7,5,10679,0,0,30,"{'10-20': -1.4000000000000001, '0-10': -0.10000000000000009, '20-30': 2.0999999999999996}","{'10-20': -223.3, '0-10': -22.50000000000003, '20-30': -89}",1856
55,1,43,0,3,13,7757,0,0,83,"{'10-20': -0.6999999999999997, '0-10': -1.0999999999999999, '20-30': -0.2500000000000002}","{'10-20': 29.05000000000001, '0-10': -47.35000000000001, '20-30': -58.75}",1856
56,1,77,3,2,7,11643,0,2,44,"{'10-20': 0.10000000000000003, '0-10': 0.4, '20-30': -1.4000000000000004}","{'10-20': -7.000000000000028, '0-10': 36.80000000000001, '20-30': -33.200000000000045}",1856
57,1,222,6,6,6,12698,1,0,32,"{'10-20': -0.6999999999999997, '0-10': -1.0999999999999999, '20-30': -0.2500000000000002}","{'10-20': 29.05000000000001, '0-10': -47.35000000000001, '20-30': -58.75}",1856
58,1,126,6,5,11,14395,0,3,22,"{'10-20': -2.5999999999999996, '0-10': -0.09999999999999964, '20-30': 2.1999999999999993}","{'10-20': -62.599999999999994, '0-10': 42.70000000000002, '20-30': 226.5}",1856
59,1,54,14,3,6,13853,0,2,41,"{'10-20': 1.4000000000000001, '0-10': 0.10000000000000009, '20-30': -2.0999999999999996}","{'10-20': 223.3, '0-10': 22.50000000000003, '20-30': 89}",1856
60,1,92,12,3,5,12059,0,1,20,"{'10-20': -1.0000000000000004, '0-10': 4.1}","{'10-20': 28.5, '0-10': 131.69999999999996}",1432
61,1,203,3,4,16,9963,0,1,16,"{'10-20': -0.7000000000000002, '0-10': -0.4}","{'10-20': 214.69999999999996, '0-10': 5.5}",1432
62,1,30,9,2,10,11415,0,1,20,"{'10-20': 1.1, '0-10': 0.10000000000000009}","{'10-20': 71.20000000000002, '0-10': 17.249999999999986}",1432
63,1,555,2,3,8,8426,0,1,101,"{'10-20': 1.1, '0-10': 0.10000000000000009}","{'10-20': 71.20000000000002, '0-10': 17.249999999999986}",1432
64,1,126,5,5,6,10600,0,2,18,"{'10-20': 2.2, '0-10': 0.20000000000000018}","{'10-20': 180.60000000000005, '0-10': 36.49999999999997}",1432
65,0,64,8,9,4,9940,0,0,17,"{'10-20': 0.7000000000000002, '0-10': 0.4}","{'10-20': -214.69999999999996, '0-10': -5.5}",1432
66,0,887,2,7,2,7946,0,0,14,"{'10-20': 1.0000000000000004, '0-10': -4.1}","{'10-20': -28.5, '0-10': -131.69999999999996}",1432
67,0,222,0,3,2,7904,0,0,26,"{'10-20': -1.1, '0-10': -0.10000000000000009}","{'10-20': -71.20000000000002, '0-10': -17.249999999999986}",1432
68,0,25,2,6,8,6241,0,0,59,"{'10-20': -1.1, '0-10': -0.10000000000000009}","{'10-20': -71.20000000000002, '0-10': -17.249999999999986}",1432
69,0,429,5,6,6,9927,0,0,17,"{'10-20': -2.2, '0-10': -0.20000000000000018}","{'10-20': -180.60000000000005, '0-10': -36.49999999999997}",1432
70,0,58,2,8,6,9857,0,0,9,{'0-10': 0},{'0-10': 0},1597
71,0,235,1,6,8,7147,0,1,62,"{'10-20': 0.09999999999999964, '0-10': -0.75}","{'10-20': -107.39999999999995, '0-10': -51.450000000000045}",1597
72,0,238,8,3,3,12252,0,1,24,{'0-10': 0},{'0-10': 0},1597
73,0,517,9,6,3,12215,0,1,13,"{'10-20': -1.2999999999999998, '0-10': 2.1}","{'10-20': -72.60000000000002, '0-10': 152.70000000000002}",1597
74,0,30,2,5,10,9469,0,0,21,"{'10-20': 0.09999999999999964, '0-10': -0.75}","{'10-20': -107.39999999999995, '0-10': -51.450000000000045}",1597
75,1,26,3,2,13,8369,0,3,45,"{'10-20': -0.09999999999999964, '0-10': 0.75}","{'10-20': 107.39999999999995, '0-10': 51.450000000000045}",1597
76,1,131,1,7,7,9376,0,0,17,{'0-10': 0},{'0-10': 0},1597
77,1,8,8,3,7,11473,0,1,16,"{'10-20': 1.2999999999999998, '0-10': -2.1}","{'10-20': 72.60000000000002, '0-10': -152.70000000000002}",1597
78,1,222,11,2,7,14853,0,0,21,"{'10-20': -0.09999999999999964, '0-10': 0.75}","{'10-20': 107.39999999999995, '0-10': 51.450000000000045}",1597
79,1,68,5,8,6,10160,0,0,17,{'0-10': 0},{'0-10': 0},1597
80,0,887,3,7,5,8303,0,0,16,{'0-10': 0},{'0-10': 0},1368
81,0,75,1,6,3,6998,0,1,10,"{'10-20': 2.6, '0-10': 0.10000000000000009}","{'10-20': -37.5, '0-10': -125.1}",1368
82,0,117,3,4,5,6587,0,0,53,"{'10-20': 0.44999999999999973, '0-10': 0.3999999999999999}","{'10-20': 59.99999999999997, '0-10': -5.299999999999983}",1368
83,0,121,6,6,4,8375,0,1,18,{'0-10': 0},{'0-10': 0},1368
84,0,21,3,3,3,8480,0,0,15,"{'10-20': 0.44999999999999973, '0-10': 0.3999999999999999}","{'10-20': 59.99999999999997, '0-10': -5.299999999999983}",1368
85,1,51,2,0,6,8589,1,4,18,"{'10-20': -0.44999999999999973, '0-10': -0.3999999999999999}","{'10-20': -59.99999999999997, '0-10': 5.299999999999983}",1368
86,1,25,4,5,11,9425,0,0,16,{'0-10': 0},{'0-10': 0},1368
87,1,105,8,8,10,9843,0,2,10,"{'10-20': -2.6, '0-10': -0.10000000000000009}","{'10-20': 37.5, '0-10': 125.1}",1368
88,1,126,10,0,8,14616,0,3,25,{'0-10': 0},{'0-10': 0},1368
89,1,57,2,3,6,6057,0,0,26,"{'10-20': -0.44999999999999973, '0-10': -0.3999999999999999}","{'10-20': -59.99999999999997, '0-10': 5.299999999999983}",1368
90,1,18,9,6,7,14393,0,4,27,{'0-10': 0},{'0-10': 0},1753
91,1,76,7,3,16,13215,1,2,28,{'0-10': 0},{'0-10': 0},1753
92,1,43,1,4,14,8212,0,0,67,{'0-10': 0},{'0-10': 0},1753
93,1,147,6,6,16,10680,0,1,26,"{'10-20': -2.6999999999999997, '0-10': -2.0999999999999996}","{'10-20': -254.99999999999997, '0-10': 4.299999999999997}",1753
94,1,58,12,2,10,16670,0,2,22,"{'10-20': 3.6, '0-10': 4.2}","{'10-20': 58.900000000000006, '0-10': 232.6}",1753
95,0,26,0,3,11,6734,0,0,43,{'0-10': 0},{'0-10': 0},1753
96,0,33,3,10,14,9527,0,0,28,{'0-10': 0},{'0-10': 0},1753
97,0,202,6,2,6,13711,0,1,41,{'0-10': 0},{'0-10': 0},1753
98,0,266,9,11,3,10840,0,0,20,"{'10-20': -3.6, '0-10': -4.2}","{'10-20': -58.900000000000006, '0-10': -232.6}",1753
99,0,8,3,9,12,10777,0,0,20,"{'10-20': 2.6999999999999997, '0-10': 2.0999999999999996}","{'10-20': 254.99999999999997, '0-10': -4.299999999999997}",1753
100,0,84,6,6,3,11135,0,0,39,"{'10-20': 0.40000000000000013, '0-10': -0.20000000000000018, '20-30': 0.09999999999999987}","{'10-20': -6.800000000000011, '0-10': 18.19999999999996, '20-30': -99.20000000000002}",1960
101,0,77,0,7,10,9358,0,0,41,"{'10-20': 5.551115123125783e-17, '0-10': 0, '20-30': -1.9}","{'10-20': -111.79999999999998, '0-10': -8.999999999999972, '20-30': -181.79999999999998}",1960
102,0,145,8,4,10,15393,0,0,25,"{'10-20': 0.10000000000000009, '0-10': 2.3, '20-30': 2.45}","{'10-20': -90.44999999999999, '0-10': 71.1, '20-30': -49.349999999999966}",1960
103,0,497,3,6,12,7797,0,1,70,"{'10-20': 0.10000000000000009, '0-10': 2.3, '20-30': 2.45}","{'10-20': -90.44999999999999, '0-10': 71.1, '20-30': -49.349999999999966}",1960
104,0,14,4,5,7,11060,0,0,23,"{'10-20': -1.5, '0-10': -1.9999999999999996, '20-30': 0.19999999999999973}","{'10-20': -97.50000000000003, '0-10': 11.5, '20-30': 31.299999999999983}",1960
105,1,498,3,4,9,11837,1,2,46,"{'10-20': -0.10000000000000009, '0-10': -2.3, '20-30': -2.45}","{'10-20': 90.44999999999999, '0-10': -71.1, '20-30': 49.349999999999966}",1960
106,1,30,11,4,13,15253,0,2,28,"{'10-20': -5.551115123125783e-17, '0-10': 0, '20-30': 1.9}","{'10-20': 111.79999999999998, '0-10': 8.999999999999972, '20-30': 181.79999999999998}",1960
107,1,4,2,2,14,12006,0,0,35,"{'10-20': -0.40000000000000013, '0-10': 0.20000000000000018, '20-30': -0.09999999999999987}","{'10-20': 6.800000000000011, '0-10': -18.19999999999996, '20-30': 99.20000000000002}",1960
108,1,126,10,5,8,16726,1,6,32,"{'10-20': 1.5, '0-10': 1.9999999999999996, '20-30': -0.19999999999999973}","{'10-20': 97.50000000000003, '0-10': -11.5, '20-30': -31.299999999999983}",1960
109,1,432,2,6,19,9130,0,0,117,"{'10-20': -0.10000000000000009, '0-10': -2.3, '20-30': -2.45}","{'10-20': 90.44999999999999, '0-10': -71.1, '20-30': 49.349999999999966}",1960
110,0,61,2,2,5,10264,0,0,30,{'0-10': 0},{'0-10': 0},1685
111,0,150,3,6,1,9551,0,1,15,{'0-10': 0},{'0-10': 0},1685
112,0,76,4,7,2,8973,0,0,34,"{'10-20': -0.3, '0-10': -1.1}","{'10-20': 6.999999999999972, '0-10': -132.10000000000002}",1685
113,0,432,2,5,8,7553,0,0,73,{'0-10': 0},{'0-10': 0},1685
114,0,51,3,4,5,10514,0,2,21,{'0-10': 0},{'0-10': 0},1685
115,1,104,6,4,4,11520,0,0,33,"{'10-20': 0.3, '0-10': 1.1}","{'10-20': -6.999999999999972, '0-10': 132.10000000000002}",1685
116,1,110,11,4,9,14276,0,4,37,{'0-10': 0},{'0-10': 0},1685
117,1,268,3,3,7,11604,1,2,27,{'0-10': 0},{'0-10': 0},1685
118,1,223,1,2,16,8164,0,0,50,{'0-10': 0},{'0-10': 0},1685
119,1,54,3,2,7,10094,0,1,23,{'0-10': 0},{'0-10': 0},1685
120,1,412,4,0,12,7066,0,0,64,"{'10-20': 1.55, '0-10': 0.6999999999999997}","{'10-20': 124.65000000000003, '0-10': 12.500000000000014}",1557
121,1,106,2,2,12,7969,0,1,30,"{'10-20': -0.5, '0-10': 0.09999999999999998}","{'10-20': -50.89999999999998, '0-10': -9.5}",1557
122,1,61,1,2,8,9340,0,0,15,"{'10-20': -1.2000000000000002, '0-10': -0.2999999999999998}","{'10-20': -15.600000000000023, '0-10': 13.999999999999972}",1557
123,1,145,11,2,8,13902,0,0,43,"{'10-20': 1.55, '0-10': 0.6999999999999997}","{'10-20': 124.65000000000003, '0-10': 12.500000000000014}",1557
124,1,62,5,4,7,10408,0,2,26,"{'10-20': -1.4000000000000004, '0-10': -0.6000000000000003}","{'10-20': -60.10000000000005, '0-10': -8.099999999999994}",1557
125,0,498,2,7,1,8966,0,0,24,"{'10-20': -1.55, '0-10': -0.6999999999999997}","{'10-20': -124.65000000000003, '0-10': -12.500000000000014}",1557
126,0,112,1,3,1,8942,0,0,20,"{'10-20': 1.2000000000000002, '0-10': 0.2999999999999998}","{'10-20': 15.600000000000023, '0-10': -13.999999999999972}",1557
127,0,12,0,6,3,5302,0,0,59,"{'10-20': -1.55, '0-10': -0.6999999999999997}","{'10-20': -124.65000000000003, '0-10': -12.500000000000014}",1557
128,0,126,4,3,2,10286,0,1,33,"{'10-20': 1.4000000000000004, '0-10': 0.6000000000000003}","{'10-20': 60.10000000000005, '0-10': 8.099999999999994}",1557
129,0,77,3,4,1,8052,0,0,29,"{'10-20': 0.5, '0-10': -0.09999999999999998}","{'10-20': 50.89999999999998, '0-10': 9.5}",1557
130,0,22,6,6,7,10702,0,1,22,"{'10-20': -0.25, '0-10': 0.7500000000000002}","{'10-20': -80.94999999999996, '0-10': 63.70000000000002}",1597
131,0,68,4,8,10,8294,0,0,11,"{'10-20': -3.3, '0-10': -1.7000000000000002}","{'10-20': -136.19999999999996, '0-10': -112.40000000000003}",1597
132,0,117,3,8,11,7208,0,0,41,"{'10-20': -0.25, '0-10': 0.7500000000000002}","{'10-20': -80.94999999999996, '0-10': 63.70000000000002}",1597
133,0,164,3,7,5,9445,0,0,19,"{'10-20': 1.9, '0-10': -0.3999999999999999}","{'10-20': -18.5, '0-10': -58.900000000000006}",1597
134,0,141,3,8,6,8588,0,0,21,"{'10-20': 2.2, '0-10': 1}","{'10-20': 39.29999999999998, '0-10': -48.69999999999999}",1597
135,1,5,10,4,16,13229,0,1,37,"{'10-20': -2.2, '0-10': -1}","{'10-20': -39.29999999999998, '0-10': 48.69999999999999}",1597
136,1,91,16,5,5,13778,0,3,21,"{'10-20': 3.3, '0-10': 1.7000000000000002}","{'10-20': 136.19999999999996, '0-10': 112.40000000000003}",1597
137,1,147,5,1,20,10800,0,2,17,"{'10-20': 0.25, '0-10': -0.7500000000000002}","{'10-20': 80.94999999999996, '0-10': -63.70000000000002}",1597
138,1,16,2,4,22,7776,1,0,41,"{'10-20': 0.25, '0-10': -0.7500000000000002}","{'10-20': 80.94999999999996, '0-10': -63.70000000000002}",1597
139,1,79,4,5,13,10424,0,1,29,"{'10-20': -1.9, '0-10': 0.3999999999999999}","{'10-20': 18.5, '0-10': 58.900000000000006}",1597
140,0,99,1,2,6,8560,0,0,16,{'0-10': 0},{'0-10': 0},1592
141,0,18,5,6,6,9937,0,2,13,{'0-10': 0},{'0-10': 0},1592
142,0,39,1,9,2,9036,0,0,25,{'0-10': 0},{'0-10': 0},1592
143,0,76,6,5,4,10481,0,0,26,{'0-10': 0},{'0-10': 0},1592
144,0,432,3,9,9,7643,0,0,61,{'0-10': 0},{'0-10': 0},1592
145,1,61,3,5,11,11149,0,0,28,{'0-10': 0},{'0-10': 0},1592
146,1,412,3,3,14,7579,0,1,61,{'0-10': 0},{'0-10': 0},1592
147,1,81,8,4,7,12686,0,4,27,{'0-10': 0},{'0-10': 0},1592
148,1,77,11,2,9,13683,0,0,25,{'0-10': 0},{'0-10': 0},1592
149,1,106,6,2,8,14006,1,4,25,{'0-10': 0},{'0-10': 0},1592
150,0,875,1,4,2,3696,0,0,24,{'0-10': 0.019999999999999574},{'0-10': -26.579999999999956},985
151,0,145,0,3,0,5136,0,0,19,{'0-10': 0.019999999999999574},{'0-10': -26.579999999999956},985
152,0,126,0,5,1,5520,0,0,9,{'0-10': 0.019999999999999574},{'0-10': -26.579999999999956},985
153,0,104,3,1,2,7100,0,0,9,{'0-10': 0.019999999999999574},{'0-10': -26.579999999999956},985
154,0,61,1,5,1,5469,0,0,14,{'0-10': 0.019999999999999574},{'0-10': -26.579999999999956},985
155,1,56,6,1,1,7529,0,1,7,{'0-10': -0.019999999999999574},{'0-10': 26.579999999999956},985
156,1,120,6,1,5,7624,0,0,18,{'0-10': -0.019999999999999574},{'0-10': 26.579999999999956},985
157,1,12,0,1,9,4279,0,0,12,{'0-10': -0.019999999999999574},{'0-10': 26.579999999999956},985
158,1,69,3,1,3,5992,0,0,12,{'0-10': -0.019999999999999574},{'0-10': 26.579999999999956},985
159,1,498,3,1,5,7055,0,1,8,{'0-10': -0.019999999999999574},{'0-10': 26.579999999999956},985
160,0,777,4,4,2,7075,0,1,14,{'0-10': -0.4200000000000008},{'0-10': -25.659999999999997},973
161,0,4,2,2,3,6430,0,0,19,{'0-10': -0.4200000000000008},{'0-10': -25.659999999999997},973
162,0,28,2,4,1,4976,0,0,15,{'0-10': -0.4200000000000008},{'0-10': -25.659999999999997},973
163,0,79,0,7,3,3822,0,0,27,{'0-10': -0.4200000000000008},{'0-10': -25.659999999999997},973
164,0,15,1,0,0,6007,0,0,9,{'0-10': -0.4200000000000008},{'0-10': -25.659999999999997},973
165,1,147,0,1,3,5961,0,0,13,{'0-10': 0.4200000000000008},{'0-10': 25.659999999999997},973
166,1,62,11,0,2,9584,0,1,4,{'0-10': 0.4200000000000008},{'0-10': 25.659999999999997},973
167,1,412,0,1,9,3946,0,0,31,{'0-10': 0.4200000000000008},{'0-10': 25.659999999999997},973
168,1,76,3,3,5,6451,0,0,16,{'0-10': 0.4200000000000008},{'0-10': 25.659999999999997},973
169,1,126,3,4,3,6477,0,0,14,{'0-10': 0.4200000000000008},{'0-10': 25.659999999999997},973
170,0,876,2,6,3,7233,0,0,16,{'0-10': 0.15999999999999925},{'0-10': 7.800000000000068},1190
171,0,119,1,2,3,6474,0,0,16,{'0-10': 0.15999999999999925},{'0-10': 7.800000000000068},1190
172,0,111,1,2,2,4827,0,0,45,{'0-10': 0.15999999999999925},{'0-10': 7.800000000000068},1190
173,0,55,0,4,0,5437,0,0,11,{'0-10': 0.15999999999999925},{'0-10': 7.800000000000068},1190
174,0,114,5,6,1,6873,0,0,15,{'0-10': 0.15999999999999925},{'0-10': 7.800000000000068},1190
175,1,222,3,1,6,7919,0,1,11,{'0-10': -0.15999999999999925},{'0-10': -7.800000000000068},1190
176,1,61,2,0,8,8897,0,1,13,{'0-10': -0.15999999999999925},{'0-10': -7.800000000000068},1190
177,1,37,1,3,9,5329,0,0,33,{'0-10': -0.15999999999999925},{'0-10': -7.800000000000068},1190
178,1,77,4,1,8,9761,0,2,25,{'0-10': -0.15999999999999925},{'0-10': -7.800000000000068},1190
179,1,236,10,4,3,11595,0,2,18,{'0-10': -0.15999999999999925},{'0-10': -7.800000000000068},1190
180,1,117,3,6,16,12729,0,4,31,"{'10-20': 3.6, '0-10': -0.7000000000000002, '30-end': 0.3999999999999999, '20-30': 0.8999999999999999}","{'10-20': 25.099999999999994, '0-10': 19.799999999999955, '30-end': 6.2000000000000455, '20-30': 71.5}",2334
181,1,234,19,6,6,20747,1,2,33,"{'10-20': -3.1999999999999993, '0-10': -0.20000000000000018, '30-end': -3.4, '20-30': 0.19999999999999973}","{'10-20': -99.79999999999998, '0-10': 30.599999999999994, '30-end': -106.39999999999998, '20-30': 198.70000000000002}",2334
182,1,222,5,9,17,16372,3,2,66,"{'10-20': -0.40000000000000036, '0-10': 2.220446049250313e-16, '30-end': -3.9000000000000004, '20-30': -0.34999999999999964}","{'10-20': -60.00000000000003, '0-10': -3.2500000000000284, '30-end': -135.39999999999998, '20-30': -40.95000000000002}",2334
183,1,79,8,5,18,16419,0,1,52,"{'10-20': -0.09999999999999998, '0-10': -0.8999999999999999, '30-end': -0.7999999999999998, '20-30': 0.40000000000000013}","{'10-20': 1.799999999999983, '0-10': -57.400000000000006, '30-end': 197.2, '20-30': 178.9}",2334
184,1,412,5,9,21,11238,0,0,88,"{'10-20': -0.40000000000000036, '0-10': 2.220446049250313e-16, '30-end': -3.9000000000000004, '20-30': -0.34999999999999964}","{'10-20': -60.00000000000003, '0-10': -3.2500000000000284, '30-end': -135.39999999999998, '20-30': -40.95000000000002}",2334
185,0,43,5,8,15,12425,0,0,24,"{'10-20': -3.6, '0-10': 0.7000000000000002, '30-end': -0.3999999999999999, '20-30': -0.8999999999999999}","{'10-20': -25.099999999999994, '0-10': -19.799999999999955, '30-end': -6.2000000000000455, '20-30': -71.5}",2334
186,0,498,10,8,12,18463,0,1,60,"{'10-20': 0.40000000000000036, '0-10': -2.220446049250313e-16, '30-end': 3.9000000000000004, '20-30': 0.34999999999999964}","{'10-20': 60.00000000000003, '0-10': 3.2500000000000284, '30-end': 135.39999999999998, '20-30': 40.95000000000002}",2334
187,0,1,10,8,6,15427,0,1,33,"{'10-20': 3.1999999999999993, '0-10': 0.20000000000000018, '30-end': 3.4, '20-30': -0.19999999999999973}","{'10-20': 99.79999999999998, '0-10': -30.599999999999994, '30-end': 106.39999999999998, '20-30': -198.70000000000002}",2334
188,0,86,6,6,6,13800,0,0,49,"{'10-20': 0.09999999999999998, '0-10': 0.8999999999999999, '30-end': 0.7999999999999998, '20-30': -0.40000000000000013}","{'10-20': -1.799999999999983, '0-10': 57.400000000000006, '30-end': -197.2, '20-30': -178.9}",2334
189,0,40,4,11,16,10223,0,0,103,"{'10-20': 0.40000000000000036, '0-10': -2.220446049250313e-16, '30-end': 3.9000000000000004, '20-30': 0.34999999999999964}","{'10-20': 60.00000000000003, '0-10': 3.2500000000000284, '30-end': 135.39999999999998, '20-30': 40.95000000000002}",2334
190,1,79,4,3,14,10402,1,1,17,{'0-10': 0},{'0-10': 0},1636
191,1,81,15,4,7,14772,0,4,21,{'0-10': 0},{'0-10': 0},1636
